Valim,Vd,Vg,Vs,Vb,Id,Ig,Is,Ib
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.960066e-42,-5.30080e-46,-7.56417e-42,3.604630e-42,
1.000000e-02,1.000000e-02,0.000000e+00,0.000000e+00,0.000000e+00,-5.01421e-11,4.905594e-15,5.011963e-11,1.754642e-14,
2.000000e-02,2.000000e-02,0.000000e+00,0.000000e+00,0.000000e+00,-9.26645e-11,1.062721e-14,9.262083e-11,3.300425e-14,
3.000000e-02,3.000000e-02,0.000000e+00,0.000000e+00,0.000000e+00,-1.27655e-10,1.721436e-14,1.275913e-10,4.695155e-14,
4.000000e-02,4.000000e-02,0.000000e+00,0.000000e+00,0.000000e+00,-1.55762e-10,2.471874e-14,1.556777e-10,5.980637e-14,
5.000000e-02,5.000000e-02,0.000000e+00,0.000000e+00,0.000000e+00,-1.78193e-10,3.319431e-14,1.780875e-10,7.187108e-14,
6.000000e-02,6.000000e-02,0.000000e+00,0.000000e+00,0.000000e+00,-1.96469e-10,4.269738e-14,1.963431e-10,8.336436e-14,
7.000000e-02,7.000000e-02,0.000000e+00,0.000000e+00,0.000000e+00,-2.12042e-10,5.328671e-14,2.118943e-10,9.444436e-14,
8.000000e-02,8.000000e-02,0.000000e+00,0.000000e+00,0.000000e+00,-2.26031e-10,6.502360e-14,2.258607e-10,1.052255e-13,
9.000000e-02,9.000000e-02,0.000000e+00,0.000000e+00,0.000000e+00,-2.39192e-10,7.797201e-14,2.389986e-10,1.157904e-13,
1.000000e-01,1.000000e-01,0.000000e+00,0.000000e+00,0.000000e+00,-2.52006e-10,9.219861e-14,2.517875e-10,1.261990e-13,
1.100000e-01,1.100000e-01,0.000000e+00,0.000000e+00,0.000000e+00,-2.64772e-10,1.077729e-13,2.645279e-10,1.364945e-13,
1.200000e-01,1.200000e-01,0.000000e+00,0.000000e+00,0.000000e+00,-2.77684e-10,1.247675e-13,2.774124e-10,1.467082e-13,
1.300000e-01,1.300000e-01,0.000000e+00,0.000000e+00,0.000000e+00,-2.90870e-10,1.432578e-13,2.905702e-10,1.568628e-13,
1.400000e-01,1.400000e-01,0.000000e+00,0.000000e+00,0.000000e+00,-3.04423e-10,1.633225e-13,3.040926e-10,1.669746e-13,
1.500000e-01,1.500000e-01,0.000000e+00,0.000000e+00,0.000000e+00,-3.18411e-10,1.850438e-13,3.180486e-10,1.770555e-13,
1.600000e-01,1.600000e-01,0.000000e+00,0.000000e+00,0.000000e+00,-3.32889e-10,2.085069e-13,3.324933e-10,1.871140e-13,
1.700000e-01,1.700000e-01,0.000000e+00,0.000000e+00,0.000000e+00,-3.47904e-10,2.338009e-13,3.474735e-10,1.971564e-13,
