Valim,Vd,Vg,Vs,Vb,Id,Ig,Is,Ib
0.000000e+00,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,-1.75035e-04,-4.23365e-10,1.750351e-04,3.081504e-10,
1.000000e-02,1.000000e+00,1.000000e+00,1.000000e-02,0.000000e+00,-1.71119e-04,-3.75792e-10,1.711192e-04,2.663908e-10,
2.000000e-02,1.000000e+00,1.000000e+00,2.000000e-02,0.000000e+00,-1.67209e-04,-3.33673e-10,1.672090e-04,2.298416e-10,
3.000000e-02,1.000000e+00,1.000000e+00,3.000000e-02,0.000000e+00,-1.63305e-04,-2.96441e-10,1.633048e-04,1.979445e-10,
4.000000e-02,1.000000e+00,1.000000e+00,4.000000e-02,0.000000e+00,-1.59406e-04,-2.63571e-10,1.594065e-04,1.701848e-10,
5.000000e-02,1.000000e+00,1.000000e+00,5.000000e-02,0.000000e+00,-1.55514e-04,-2.34583e-10,1.555144e-04,1.460902e-10,
6.000000e-02,1.000000e+00,1.000000e+00,6.000000e-02,0.000000e+00,-1.51629e-04,-2.09038e-10,1.516286e-04,1.252301e-10,
7.000000e-02,1.000000e+00,1.000000e+00,7.000000e-02,0.000000e+00,-1.47749e-04,-1.86537e-10,1.477492e-04,1.072140e-10,
8.000000e-02,1.000000e+00,1.000000e+00,8.000000e-02,0.000000e+00,-1.43876e-04,-1.66721e-10,1.438763e-04,9.168963e-11,
9.000000e-02,1.000000e+00,1.000000e+00,9.000000e-02,0.000000e+00,-1.40010e-04,-1.49267e-10,1.400102e-04,7.834113e-11,
1.000000e-01,1.000000e+00,1.000000e+00,1.000000e-01,0.000000e+00,-1.36151e-04,-1.33885e-10,1.361509e-04,6.688659e-11,
1.100000e-01,1.000000e+00,1.000000e+00,1.100000e-01,0.000000e+00,-1.32299e-04,-1.20319e-10,1.322988e-04,5.707572e-11,
1.200000e-01,1.000000e+00,1.000000e+00,1.200000e-01,0.000000e+00,-1.28454e-04,-1.08341e-10,1.284539e-04,4.868729e-11,
1.300000e-01,1.000000e+00,1.000000e+00,1.300000e-01,0.000000e+00,-1.24616e-04,-9.77498e-11,1.246165e-04,4.152664e-11,
1.400000e-01,1.000000e+00,1.000000e+00,1.400000e-01,0.000000e+00,-1.20787e-04,-8.83698e-11,1.207870e-04,3.542318e-11,
1.500000e-01,1.000000e+00,1.000000e+00,1.500000e-01,0.000000e+00,-1.16965e-04,-8.00455e-11,1.169654e-04,3.022798e-11,
1.600000e-01,1.000000e+00,1.000000e+00,1.600000e-01,0.000000e+00,-1.13152e-04,-7.26417e-11,1.131523e-04,2.581148e-11,
1.700000e-01,1.000000e+00,1.000000e+00,1.700000e-01,0.000000e+00,-1.09348e-04,-6.60410e-11,1.093479e-04,2.206134e-11,
1.800000e-01,1.000000e+00,1.000000e+00,1.800000e-01,0.000000e+00,-1.05553e-04,-6.01410e-11,1.055528e-04,1.888042e-11,
1.900000e-01,1.000000e+00,1.000000e+00,1.900000e-01,0.000000e+00,-1.01767e-04,-5.48528e-11,1.017674e-04,1.618497e-11,
2.000000e-01,1.000000e+00,1.000000e+00,2.000000e-01,0.000000e+00,-9.79922e-05,-5.00995e-11,9.799223e-05,1.390298e-11,
2.100000e-01,1.000000e+00,1.000000e+00,2.100000e-01,0.000000e+00,-9.42281e-05,-4.58149e-11,9.422812e-05,1.197264e-11,
