Valim,Vd,Vg,Vs,Vb,Id,Ig,Is,Ib
0.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00,8.940872e-01,1.086737e-08,-2.66454e-15,-1.08674e-08,0.000000e+00,
1.000000e-02,1.000000e-02,1.000000e+00,1.000000e+00,8.944383e-01,1.008921e-08,-2.66454e-15,-1.00892e-08,0.000000e+00,
2.000000e-02,2.000000e-02,1.000000e+00,1.000000e+00,8.947904e-01,9.371206e-09,-1.33227e-15,-9.37120e-09,0.000000e+00,
3.000000e-02,3.000000e-02,1.000000e+00,1.000000e+00,8.951450e-01,8.708498e-09,-1.77636e-15,-8.70850e-09,0.000000e+00,
4.000000e-02,4.000000e-02,1.000000e+00,1.000000e+00,8.955001e-01,8.096744e-09,-2.22045e-15,-8.09674e-09,0.000000e+00,
5.000000e-02,5.000000e-02,1.000000e+00,1.000000e+00,8.958621e-01,7.531603e-09,-2.22045e-15,-7.53160e-09,0.000000e+00,
6.000000e-02,6.000000e-02,1.000000e+00,1.000000e+00,8.962244e-01,7.009621e-09,-1.33227e-15,-7.00962e-09,0.000000e+00,
7.000000e-02,7.000000e-02,1.000000e+00,1.000000e+00,8.965890e-01,6.527256e-09,-1.33227e-15,-6.52725e-09,0.000000e+00,
8.000000e-02,8.000000e-02,1.000000e+00,1.000000e+00,8.969613e-01,6.081163e-09,-1.77636e-15,-6.08116e-09,0.000000e+00,
9.000000e-02,9.000000e-02,1.000000e+00,1.000000e+00,8.973343e-01,5.668669e-09,-1.33227e-15,-5.66867e-09,0.000000e+00,
1.000000e-01,1.000000e-01,1.000000e+00,1.000000e+00,8.977135e-01,5.286929e-09,-1.33227e-15,-5.28693e-09,0.000000e+00,
1.100000e-01,1.100000e-01,1.000000e+00,1.000000e+00,8.980934e-01,4.933636e-09,-8.88178e-16,-4.93363e-09,0.000000e+00,
1.200000e-01,1.200000e-01,1.000000e+00,1.000000e+00,8.984809e-01,4.606340e-09,-8.88178e-16,-4.60634e-09,0.000000e+00,
1.300000e-01,1.300000e-01,1.000000e+00,1.000000e+00,8.988720e-01,4.303079e-09,-8.88178e-16,-4.30308e-09,0.000000e+00,
1.400000e-01,1.400000e-01,1.000000e+00,1.000000e+00,8.992687e-01,4.021892e-09,-1.33227e-15,-4.02189e-09,0.000000e+00,
1.500000e-01,1.500000e-01,1.000000e+00,1.000000e+00,8.996685e-01,3.761087e-09,-8.88178e-16,-3.76109e-09,0.000000e+00,
1.600000e-01,1.600000e-01,1.000000e+00,1.000000e+00,9.000740e-01,3.518999e-09,-1.33227e-15,-3.51900e-09,0.000000e+00,
1.700000e-01,1.700000e-01,1.000000e+00,1.000000e+00,9.004849e-01,3.294159e-09,-1.33227e-15,-3.29416e-09,0.000000e+00,
1.800000e-01,1.800000e-01,1.000000e+00,1.000000e+00,9.009010e-01,3.085218e-09,-4.44089e-16,-3.08522e-09,0.000000e+00,
1.900000e-01,1.900000e-01,1.000000e+00,1.000000e+00,9.013218e-01,2.890940e-09,-8.88178e-16,-2.89094e-09,0.000000e+00,
2.000000e-01,2.000000e-01,1.000000e+00,1.000000e+00,9.017493e-01,2.710155e-09,-8.88178e-16,-2.71015e-09,0.000000e+00,
2.100000e-01,2.100000e-01,1.000000e+00,1.000000e+00,9.021787e-01,2.541886e-09,-8.88178e-16,-2.54189e-09,0.000000e+00,
2.200000e-01,2.200000e-01,1.000000e+00,1.000000e+00,9.026145e-01,2.385102e-09,-8.88178e-16,-2.38510e-09,0.000000e+00,
2.300000e-01,2.300000e-01,1.000000e+00,1.000000e+00,9.030588e-01,2.238903e-09,-8.88178e-16,-2.23890e-09,0.000000e+00,
2.400000e-01,2.400000e-01,1.000000e+00,1.000000e+00,9.035072e-01,2.102536e-09,-8.88178e-16,-2.10254e-09,0.000000e+00,
2.500000e-01,2.500000e-01,1.000000e+00,1.000000e+00,9.039618e-01,1.975233e-09,-8.88178e-16,-1.97523e-09,0.000000e+00,
2.600000e-01,2.600000e-01,1.000000e+00,1.000000e+00,9.044240e-01,1.856302e-09,-8.88178e-16,-1.85630e-09,0.000000e+00,
2.700000e-01,2.700000e-01,1.000000e+00,1.000000e+00,9.048908e-01,1.745149e-09,-4.44089e-16,-1.74515e-09,0.000000e+00,
2.800000e-01,2.800000e-01,1.000000e+00,1.000000e+00,9.053642e-01,1.641181e-09,-8.88178e-16,-1.64118e-09,0.000000e+00,
2.900000e-01,2.900000e-01,1.000000e+00,1.000000e+00,9.058437e-01,1.543879e-09,-8.88178e-16,-1.54388e-09,0.000000e+00,
3.000000e-01,3.000000e-01,1.000000e+00,1.000000e+00,9.063313e-01,1.452742e-09,-4.44089e-16,-1.45274e-09,0.000000e+00,
3.100000e-01,3.100000e-01,1.000000e+00,1.000000e+00,9.068243e-01,1.367349e-09,-4.44089e-16,-1.36735e-09,0.000000e+00,
3.200000e-01,3.200000e-01,1.000000e+00,1.000000e+00,9.073264e-01,1.287268e-09,-4.44089e-16,-1.28727e-09,0.000000e+00,
3.300000e-01,3.300000e-01,1.000000e+00,1.000000e+00,9.078356e-01,1.212140e-09,-8.88178e-16,-1.21214e-09,0.000000e+00,
3.400000e-01,3.400000e-01,1.000000e+00,1.000000e+00,9.083534e-01,1.141611e-09,-8.88178e-16,-1.14161e-09,0.000000e+00,
3.500000e-01,3.500000e-01,1.000000e+00,1.000000e+00,9.088771e-01,1.075382e-09,-8.88178e-16,-1.07538e-09,0.000000e+00,
3.600000e-01,3.600000e-01,1.000000e+00,1.000000e+00,9.094101e-01,1.013142e-09,-8.88178e-16,-1.01314e-09,0.000000e+00,
3.700000e-01,3.700000e-01,1.000000e+00,1.000000e+00,9.099510e-01,9.546323e-10,-4.44089e-16,-9.54632e-10,0.000000e+00,
3.800000e-01,3.800000e-01,1.000000e+00,1.000000e+00,9.105004e-01,8.996022e-10,-4.44089e-16,-8.99602e-10,0.000000e+00,
3.900000e-01,3.900000e-01,1.000000e+00,1.000000e+00,9.110595e-01,8.478195e-10,-8.88178e-16,-8.47819e-10,0.000000e+00,
4.000000e-01,4.000000e-01,1.000000e+00,1.000000e+00,9.116279e-01,7.990755e-10,-8.88178e-16,-7.99075e-10,0.000000e+00,
4.100000e-01,4.100000e-01,1.000000e+00,1.000000e+00,9.122041e-01,7.531837e-10,-8.88178e-16,-7.53183e-10,0.000000e+00,
4.200000e-01,4.200000e-01,1.000000e+00,1.000000e+00,9.127895e-01,7.099577e-10,0.000000e+00,-7.09958e-10,0.000000e+00,
4.300000e-01,4.300000e-01,1.000000e+00,1.000000e+00,9.133880e-01,6.692172e-10,0.000000e+00,-6.69217e-10,0.000000e+00,
4.400000e-01,4.400000e-01,1.000000e+00,1.000000e+00,9.139924e-01,6.308353e-10,0.000000e+00,-6.30835e-10,0.000000e+00,
4.500000e-01,4.500000e-01,1.000000e+00,1.000000e+00,9.146118e-01,5.946371e-10,0.000000e+00,-5.94637e-10,0.000000e+00,
4.600000e-01,4.600000e-01,1.000000e+00,1.000000e+00,9.152395e-01,5.605138e-10,0.000000e+00,-5.60514e-10,0.000000e+00,
4.700000e-01,4.700000e-01,1.000000e+00,1.000000e+00,9.158795e-01,5.283286e-10,0.000000e+00,-5.28328e-10,0.000000e+00,
4.800000e-01,4.800000e-01,1.000000e+00,1.000000e+00,9.165313e-01,4.979694e-10,0.000000e+00,-4.97969e-10,0.000000e+00,
4.900000e-01,4.900000e-01,1.000000e+00,1.000000e+00,9.171947e-01,4.693298e-10,0.000000e+00,-4.69330e-10,0.000000e+00,
5.000000e-01,5.000000e-01,1.000000e+00,1.000000e+00,9.178734e-01,4.423013e-10,4.440892e-16,-4.42301e-10,0.000000e+00,
5.100000e-01,5.100000e-01,1.000000e+00,1.000000e+00,9.185607e-01,4.168078e-10,0.000000e+00,-4.16808e-10,0.000000e+00,
5.200000e-01,5.200000e-01,1.000000e+00,1.000000e+00,9.192642e-01,3.927439e-10,0.000000e+00,-3.92744e-10,0.000000e+00,
5.300000e-01,5.300000e-01,1.000000e+00,1.000000e+00,9.199824e-01,3.700324e-10,0.000000e+00,-3.70032e-10,0.000000e+00,
5.400000e-01,5.400000e-01,1.000000e+00,1.000000e+00,9.207142e-01,3.486000e-10,0.000000e+00,-3.48600e-10,0.000000e+00,
5.500000e-01,5.500000e-01,1.000000e+00,1.000000e+00,9.214608e-01,3.283726e-10,0.000000e+00,-3.28372e-10,0.000000e+00,
5.600000e-01,5.600000e-01,1.000000e+00,1.000000e+00,9.222240e-01,3.092802e-10,0.000000e+00,-3.09280e-10,0.000000e+00,
