Valim,Vd,Vg,Vs,Vb,Id,Ig,Is,Ib
0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,3.793622e-01,4.866394e-13,-9.73333e-13,4.866394e-13,0.000000e+00,
1.000000e-02,0.000000e+00,1.000000e+00,1.000000e-02,3.796456e-01,4.869228e-13,-9.63341e-13,4.763599e-13,0.000000e+00,
2.000000e-02,0.000000e+00,1.000000e+00,2.000000e-02,3.799319e-01,4.872091e-13,-9.53349e-13,4.661126e-13,0.000000e+00,
3.000000e-02,0.000000e+00,1.000000e+00,3.000000e-02,3.802207e-01,4.874979e-13,-9.43357e-13,4.558958e-13,0.000000e+00,
4.000000e-02,0.000000e+00,1.000000e+00,4.000000e-02,3.805118e-01,4.877890e-13,-9.33476e-13,4.457076e-13,0.000000e+00,
5.000000e-02,0.000000e+00,1.000000e+00,5.000000e-02,3.808064e-01,4.880836e-13,-9.23595e-13,4.355480e-13,0.000000e+00,
6.000000e-02,0.000000e+00,1.000000e+00,6.000000e-02,3.811035e-01,4.883808e-13,-9.13825e-13,4.254147e-13,0.000000e+00,
7.000000e-02,0.000000e+00,1.000000e+00,7.000000e-02,3.814039e-01,4.886812e-13,-9.04055e-13,4.153071e-13,0.000000e+00,
8.000000e-02,0.000000e+00,1.000000e+00,8.000000e-02,3.817068e-01,4.889841e-13,-8.94174e-13,4.052232e-13,0.000000e+00,
9.000000e-02,0.000000e+00,1.000000e+00,9.000000e-02,3.820116e-01,4.892889e-13,-8.84515e-13,3.951611e-13,0.000000e+00,
1.000000e-01,0.000000e+00,1.000000e+00,1.000000e-01,3.823218e-01,4.895990e-13,-8.74634e-13,3.851231e-13,0.000000e+00,
1.100000e-01,0.000000e+00,1.000000e+00,1.100000e-01,3.826335e-01,4.899108e-13,-8.64975e-13,3.751041e-13,0.000000e+00,
1.200000e-01,0.000000e+00,1.000000e+00,1.200000e-01,3.829482e-01,4.902255e-13,-8.55316e-13,3.651042e-13,0.000000e+00,
1.300000e-01,0.000000e+00,1.000000e+00,1.300000e-01,3.832685e-01,4.905458e-13,-8.45546e-13,3.551246e-13,0.000000e+00,
1.400000e-01,0.000000e+00,1.000000e+00,1.400000e-01,3.835891e-01,4.908664e-13,-8.35998e-13,3.451584e-13,0.000000e+00,
1.500000e-01,0.000000e+00,1.000000e+00,1.500000e-01,3.839161e-01,4.911934e-13,-8.26339e-13,3.352100e-13,0.000000e+00,
1.600000e-01,0.000000e+00,1.000000e+00,1.600000e-01,3.842462e-01,4.915236e-13,-8.16791e-13,3.252740e-13,0.000000e+00,
1.700000e-01,0.000000e+00,1.000000e+00,1.700000e-01,3.845794e-01,4.918568e-13,-8.07132e-13,3.153479e-13,0.000000e+00,
1.800000e-01,0.000000e+00,1.000000e+00,1.800000e-01,3.849161e-01,4.921936e-13,-7.97695e-13,3.054288e-13,0.000000e+00,
1.900000e-01,0.000000e+00,1.000000e+00,1.900000e-01,3.852577e-01,4.925353e-13,-7.88036e-13,2.955142e-13,0.000000e+00,
2.000000e-01,0.000000e+00,1.000000e+00,2.000000e-01,3.856032e-01,4.928809e-13,-7.78488e-13,2.855978e-13,0.000000e+00,
2.100000e-01,0.000000e+00,1.000000e+00,2.100000e-01,3.859534e-01,4.932313e-13,-7.68940e-13,2.756737e-13,0.000000e+00,
2.200000e-01,0.000000e+00,1.000000e+00,2.200000e-01,3.863104e-01,4.935886e-13,-7.59171e-13,2.657346e-13,0.000000e+00,
2.300000e-01,0.000000e+00,1.000000e+00,2.300000e-01,3.866709e-01,4.939495e-13,-7.49734e-13,2.557652e-13,0.000000e+00,
2.400000e-01,0.000000e+00,1.000000e+00,2.400000e-01,3.870364e-01,4.943156e-13,-7.40075e-13,2.457505e-13,0.000000e+00,
2.500000e-01,0.000000e+00,1.000000e+00,2.500000e-01,3.874116e-01,4.946915e-13,-7.30305e-13,2.356729e-13,0.000000e+00,
2.600000e-01,0.000000e+00,1.000000e+00,2.600000e-01,3.877975e-01,4.950786e-13,-7.20535e-13,2.255037e-13,0.000000e+00,
2.700000e-01,0.000000e+00,1.000000e+00,2.700000e-01,3.881910e-01,4.954739e-13,-7.10654e-13,2.151989e-13,0.000000e+00,
2.800000e-01,0.000000e+00,1.000000e+00,2.800000e-01,3.885981e-01,4.958835e-13,-7.00551e-13,2.047098e-13,0.000000e+00,
2.900000e-01,0.000000e+00,1.000000e+00,2.900000e-01,3.890225e-01,4.963114e-13,-6.90226e-13,1.939659e-13,0.000000e+00,
3.000000e-01,0.000000e+00,1.000000e+00,3.000000e-01,3.894693e-01,4.967634e-13,-6.79568e-13,1.828728e-13,0.000000e+00,
3.100000e-01,0.000000e+00,1.000000e+00,3.100000e-01,3.899415e-01,4.972430e-13,-6.68576e-13,1.712988e-13,0.000000e+00,
3.200000e-01,0.000000e+00,1.000000e+00,3.200000e-01,3.904488e-01,4.977610e-13,-6.56808e-13,1.590745e-13,0.000000e+00,
3.300000e-01,0.000000e+00,1.000000e+00,3.300000e-01,3.910046e-01,4.983323e-13,-6.44262e-13,1.459766e-13,0.000000e+00,
3.400000e-01,0.000000e+00,1.000000e+00,3.400000e-01,3.916221e-01,4.989719e-13,-6.30829e-13,1.317064e-13,0.000000e+00,
3.500000e-01,0.000000e+00,1.000000e+00,3.500000e-01,3.923261e-01,4.997079e-13,-6.15508e-13,1.158901e-13,0.000000e+00,
3.600000e-01,0.000000e+00,1.000000e+00,3.600000e-01,3.931395e-01,5.005669e-13,-5.98632e-13,9.804029e-14,0.000000e+00,
3.700000e-01,0.000000e+00,1.000000e+00,3.700000e-01,3.941027e-01,5.015955e-13,-5.79092e-13,7.758085e-14,0.000000e+00,
3.800000e-01,0.000000e+00,1.000000e+00,3.800000e-01,3.952608e-01,5.028470e-13,-5.56777e-13,5.382929e-14,0.000000e+00,
3.900000e-01,0.000000e+00,1.000000e+00,3.900000e-01,3.966783e-01,5.043972e-13,-5.30354e-13,2.606926e-14,0.000000e+00,
4.000000e-01,0.000000e+00,1.000000e+00,4.000000e-01,3.984229e-01,5.063297e-13,-5.00044e-13,-6.41113e-15,0.000000e+00,
4.100000e-01,0.000000e+00,1.000000e+00,4.100000e-01,4.005866e-01,5.087582e-13,-4.64517e-13,-4.40978e-14,0.000000e+00,
4.200000e-01,0.000000e+00,1.000000e+00,4.200000e-01,4.032561e-01,5.117982e-13,-4.24660e-13,-8.71577e-14,0.000000e+00,
4.300000e-01,0.000000e+00,1.000000e+00,4.300000e-01,4.065228e-01,5.155801e-13,-3.80362e-13,-1.35169e-13,0.000000e+00,
4.400000e-01,0.000000e+00,1.000000e+00,4.400000e-01,4.104726e-01,5.202409e-13,-3.33289e-13,-1.86960e-13,0.000000e+00,
4.500000e-01,0.000000e+00,1.000000e+00,4.500000e-01,4.151596e-01,5.259018e-13,-2.85105e-13,-2.40761e-13,0.000000e+00,
4.600000e-01,0.000000e+00,1.000000e+00,4.600000e-01,4.205982e-01,5.326656e-13,-2.38032e-13,-2.94499e-13,0.000000e+00,
4.700000e-01,0.000000e+00,1.000000e+00,4.700000e-01,4.267711e-01,5.406309e-13,-1.94511e-13,-3.46101e-13,0.000000e+00,
