Valim,Vd,Vg,Vs,Vb,Id,Ig,Is,Ib
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.31660e-38,-9.59511e-42,-1.32159e-38,2.639153e-38,
5.000000e-02,5.000000e-02,0.000000e+00,0.000000e+00,0.000000e+00,-3.02401e-05,7.499455e-14,3.024006e-05,4.902666e-14,
1.000000e-01,1.000000e-01,0.000000e+00,0.000000e+00,0.000000e+00,-6.86938e-05,2.083006e-13,6.869385e-05,7.064435e-14,
1.500000e-01,1.500000e-01,0.000000e+00,0.000000e+00,0.000000e+00,-1.06869e-04,4.180618e-13,1.068694e-04,8.614756e-14,
2.000000e-01,2.000000e-01,0.000000e+00,0.000000e+00,0.000000e+00,-1.44615e-04,7.266087e-13,1.446146e-04,1.005706e-13,
2.500000e-01,2.500000e-01,0.000000e+00,0.000000e+00,0.000000e+00,-1.82007e-04,1.161296e-12,1.820066e-04,1.146274e-13,
3.000000e-01,3.000000e-01,0.000000e+00,0.000000e+00,0.000000e+00,-2.19042e-04,1.755489e-12,2.190419e-04,1.284064e-13,
3.500000e-01,3.500000e-01,0.000000e+00,0.000000e+00,0.000000e+00,-2.55709e-04,2.549728e-12,2.557091e-04,1.419113e-13,
4.000000e-01,4.000000e-01,0.000000e+00,0.000000e+00,0.000000e+00,-2.92002e-04,3.593102e-12,2.920021e-04,1.551386e-13,
4.500000e-01,4.500000e-01,0.000000e+00,0.000000e+00,0.000000e+00,-3.27920e-04,4.944852e-12,3.279204e-04,1.680928e-13,
5.000000e-01,5.000000e-01,0.000000e+00,0.000000e+00,0.000000e+00,-3.63466e-04,6.676230e-12,3.634665e-04,1.808344e-13,
5.500000e-01,5.500000e-01,0.000000e+00,0.000000e+00,0.000000e+00,-3.98645e-04,8.872213e-12,3.986446e-04,1.939887e-13,
6.000000e-01,6.000000e-01,0.000000e+00,0.000000e+00,0.000000e+00,-4.33460e-04,1.162893e-11,4.334598e-04,2.139352e-13,
6.500000e-01,6.500000e-01,0.000000e+00,0.000000e+00,0.000000e+00,-4.67918e-04,1.500636e-11,4.679177e-04,3.031665e-13,
7.000000e-01,7.000000e-01,0.000000e+00,0.000000e+00,0.000000e+00,-5.02024e-04,1.861670e-11,5.020239e-04,9.955314e-13,
7.500000e-01,7.500000e-01,0.000000e+00,0.000000e+00,0.000000e+00,-5.35784e-04,2.036259e-11,5.357839e-04,4.562206e-12,
8.000000e-01,8.000000e-01,0.000000e+00,0.000000e+00,0.000000e+00,-5.69203e-04,2.123321e-11,5.692033e-04,1.022048e-11,
8.500000e-01,8.500000e-01,0.000000e+00,0.000000e+00,0.000000e+00,-6.02288e-04,2.510304e-11,6.022875e-04,1.434077e-11,
9.000000e-01,9.000000e-01,0.000000e+00,0.000000e+00,0.000000e+00,-6.35042e-04,3.101513e-11,6.350418e-04,1.817003e-11,
9.500000e-01,9.500000e-01,0.000000e+00,0.000000e+00,0.000000e+00,-6.67471e-04,3.843315e-11,6.674712e-04,2.258753e-11,
1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-6.99581e-04,4.745703e-11,6.995807e-04,2.789829e-11,
