Valim,Vd,Vg,Vs,Vb,Id,Ig,Is,Ib
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.51720e-39,-1.70928e-42,-2.52630e-39,5.045206e-39,
5.000000e-02,0.000000e+00,5.000000e-02,0.000000e+00,0.000000e+00,2.004787e-14,-4.02317e-14,2.004787e-14,1.309598e-16,
1.000000e-01,0.000000e+00,1.000000e-01,0.000000e+00,0.000000e+00,1.978413e-14,-3.99958e-14,1.978413e-14,4.147914e-16,
1.500000e-01,0.000000e+00,1.500000e-01,0.000000e+00,0.000000e+00,6.345247e-15,-1.38223e-14,6.345247e-15,1.114254e-15,
2.000000e-01,0.000000e+00,2.000000e-01,0.000000e+00,0.000000e+00,2.480800e-14,-5.25413e-14,2.480800e-14,2.936754e-15,
2.500000e-01,0.000000e+00,2.500000e-01,0.000000e+00,0.000000e+00,7.707926e-14,-1.61871e-13,7.707926e-14,7.728571e-15,
3.000000e-01,0.000000e+00,3.000000e-01,0.000000e+00,0.000000e+00,1.614470e-13,-3.43087e-13,1.614470e-13,2.015045e-14,
3.500000e-01,0.000000e+00,3.500000e-01,0.000000e+00,0.000000e+00,2.875325e-13,-6.26665e-13,2.875325e-13,5.161871e-14,
4.000000e-01,0.000000e+00,4.000000e-01,0.000000e+00,0.000000e+00,4.693158e-13,-1.06809e-12,4.693158e-13,1.294051e-13,
4.500000e-01,0.000000e+00,4.500000e-01,0.000000e+00,0.000000e+00,7.346620e-13,-1.78657e-12,7.346620e-13,3.172579e-13,
5.000000e-01,0.000000e+00,5.000000e-01,0.000000e+00,0.000000e+00,1.151985e-12,-3.06505e-12,1.151985e-12,7.609927e-13,
5.500000e-01,0.000000e+00,5.500000e-01,0.000000e+00,0.000000e+00,1.817768e-12,-5.42116e-12,1.817768e-12,1.785653e-12,
6.000000e-01,0.000000e+00,6.000000e-01,0.000000e+00,0.000000e+00,2.782349e-12,-9.65594e-12,2.782349e-12,4.091221e-12,
6.500000e-01,0.000000e+00,6.500000e-01,0.000000e+00,0.000000e+00,4.086048e-12,-1.72858e-11,4.086048e-12,9.113776e-12,
7.000000e-01,0.000000e+00,7.000000e-01,0.000000e+00,0.000000e+00,5.796631e-12,-3.12023e-11,5.796631e-12,1.960901e-11,
7.500000e-01,0.000000e+00,7.500000e-01,0.000000e+00,0.000000e+00,8.005610e-12,-5.64429e-11,8.005610e-12,4.043154e-11,
8.000000e-01,0.000000e+00,8.000000e-01,0.000000e+00,0.000000e+00,1.082579e-11,-1.01006e-10,1.082579e-11,7.935471e-11,
8.500000e-01,0.000000e+00,8.500000e-01,0.000000e+00,0.000000e+00,1.439314e-11,-1.76580e-10,1.439314e-11,1.477939e-10,
9.000000e-01,0.000000e+00,9.000000e-01,0.000000e+00,0.000000e+00,1.887048e-11,-2.99330e-10,1.887048e-11,2.615893e-10,
9.500000e-01,0.000000e+00,9.500000e-01,0.000000e+00,0.000000e+00,2.445218e-11,-4.91174e-10,2.445218e-11,4.422700e-10,
1.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,3.136981e-11,-7.81883e-10,3.136981e-11,7.191436e-10,
