p3n,p2n,p1n,p0n,g3n,g2n,g1n,g0n,cnn,V(cnx),V(cny),V(cnz),V(gn),V(pn),I(Va),I(V1),I(V2),I(V3),I(V4),I(V5),I(V6),I(V7),I(V8),I(V9)
0,0,0,0,0,0,0,0,0, 9.998972e-01, 9.998973e-01, 9.998974e-01, 1.231503e-04, 1.231497e-04, -8.28746e-07, 8.437428e-11, 1.032361e-10, 1.553466e-10, 1.885529e-10, 1.087141e-10, 2.650033e-10, 2.174282e-10, 2.317829e-10, 5.662104e-11
0,0,0,0,0,0,0,0,1, 9.998972e-01, 9.998973e-01, 9.998974e-01, 1.231488e-04, 1.231492e-04, -8.64327e-07, 8.437428e-11, 1.032361e-10, 1.553466e-10, 1.885530e-10, 1.087141e-10, 2.650033e-10, 2.174282e-10, 2.326886e-10, -2.38640e-10
0,0,0,0,0,0,0,1,0, 9.998972e-01, 9.998973e-01, 9.998974e-01, 1.231520e-04, 1.231503e-04, -8.87333e-07, 8.437428e-11, 1.032361e-10, 1.553466e-10, 1.894587e-10, 1.087141e-10, 2.650033e-10, 2.290497e-10, -3.18422e-10, 7.895833e-11
0,0,0,0,0,0,0,1,1, 3.534875e-04, 9.998973e-01, 9.998974e-01, 1.231490e-04, 1.231498e-04, -9.63465e-07, 8.437428e-11, 1.032361e-10, 1.553466e-10, 1.894587e-10, 1.087141e-10, 2.650033e-10, 2.290497e-10, -4.77118e-10, -2.38653e-10
0,0,0,0,0,0,1,0,0, 9.998972e-01, 9.998973e-01, 9.998974e-01, 1.231499e-04, 1.231495e-04, -9.07273e-07, 8.437428e-11, 1.032361e-10, 1.557995e-10, 1.890058e-10, 1.087141e-10, 2.775306e-10, -4.77441e-10, 2.434044e-10, 5.662104e-11
0,0,0,0,0,0,1,0,1, 9.998972e-01, 9.998973e-01, 9.998974e-01, 1.231490e-04, 1.231486e-04, -9.42853e-07, 8.437427e-11, 1.032361e-10, 1.557995e-10, 1.890058e-10, 1.087141e-10, 2.775306e-10, -4.77441e-10, 2.443102e-10, -2.38640e-10
0,0,0,0,0,0,1,1,0, 9.998972e-01, 9.998973e-01, 9.998974e-01, 1.231494e-04, 1.231498e-04, -9.41837e-07, 8.437428e-11, 1.032361e-10, 1.557995e-10, 1.899116e-10, 1.087141e-10, 2.775306e-10, -5.56798e-10, -3.97777e-10, 9.012355e-11
0,0,0,0,0,0,1,1,1, 3.534878e-04, 3.538553e-04, 9.998974e-01, 1.231502e-04, 1.231502e-04, -1.09432e-06, 8.437428e-11, 1.032361e-10, 1.557995e-10, 1.899116e-10, 1.087141e-10, 2.775306e-10, -5.56798e-10, -5.56477e-10, -2.38659e-10
0,0,0,0,0,1,0,0,0, 9.998972e-01, 9.998973e-01, 9.998974e-01, 1.231502e-04, 1.231502e-04, -8.79154e-07, 8.437428e-11, 1.036890e-10, 1.553466e-10, 1.885530e-10, 1.203356e-10, -2.38953e-10, 2.513870e-10, 2.317829e-10, 5.662104e-11
0,0,0,0,0,1,0,0,1, 9.998972e-01, 9.998973e-01, 9.998974e-01, 1.231492e-04, 1.231494e-04, -9.14737e-07, 8.437428e-11, 1.036890e-10, 1.553466e-10, 1.885530e-10, 1.203356e-10, -2.38953e-10, 2.513870e-10, 2.326886e-10, -2.38640e-10
0,0,0,0,0,1,0,1,0, 9.998972e-01, 9.998973e-01, 9.998974e-01, 1.231507e-04, 1.231510e-04, -9.37741e-07, 8.437428e-11, 1.036890e-10, 1.553466e-10, 1.894587e-10, 1.203356e-10, -2.38953e-10, 2.630085e-10, -3.18422e-10, 7.895833e-11
0,0,0,0,0,1,0,1,1, 3.534875e-04, 9.998973e-01, 9.998974e-01, 1.231494e-04, 1.231503e-04, -1.01387e-06, 8.437428e-11, 1.036890e-10, 1.553466e-10, 1.894587e-10, 1.203356e-10, -2.38953e-10, 2.630085e-10, -4.77118e-10, -2.38653e-10
0,0,0,0,0,1,1,0,0, 9.998972e-01, 9.998973e-01, 9.998974e-01, 1.231503e-04, 1.231513e-04, -9.26177e-07, 8.437428e-11, 1.036890e-10, 1.669648e-10, 1.890058e-10, 1.203356e-10, -4.77010e-10, -5.56808e-10, 2.434044e-10, 5.662104e-11
0,0,0,0,0,1,1,0,1, 9.998972e-01, 9.998973e-01, 9.998974e-01, 1.231502e-04, 1.231493e-04, -9.61758e-07, 8.437428e-11, 1.036890e-10, 1.669647e-10, 1.890058e-10, 1.203356e-10, -4.77010e-10, -5.56808e-10, 2.443101e-10, -2.38640e-10
0,0,0,0,0,1,1,1,0, 9.998972e-01, 9.998973e-01, 9.998974e-01, 1.231510e-04, 1.231514e-04, -9.60741e-07, 8.437428e-11, 1.036890e-10, 1.669647e-10, 1.899116e-10, 1.203356e-10, -4.77010e-10, -6.36165e-10, -3.97777e-10, 9.012355e-11
0,0,0,0,0,1,1,1,1, 3.534875e-04, 3.538554e-04, 3.539629e-04, 1.231503e-04, 1.231503e-04, -1.18957e-06, 8.437427e-11, 1.036890e-10, 1.669648e-10, 1.899116e-10, 1.203356e-10, -4.77010e-10, -6.36165e-10, -5.56477e-10, -2.38659e-10
0,0,0,0,1,0,0,0,0, 9.998972e-01, 9.998973e-01, 9.998974e-01, 1.231491e-04, 1.231503e-04, -8.67988e-07, 8.482719e-11, 1.032361e-10, 1.557995e-10, 1.885530e-10, -2.38719e-10, 2.766248e-10, 2.174282e-10, 2.317829e-10, 5.662105e-11
0,0,0,0,1,0,0,0,1, 9.998972e-01, 9.998973e-01, 9.998974e-01, 1.231502e-04, 1.231508e-04, -9.03569e-07, 8.482716e-11, 1.032361e-10, 1.557995e-10, 1.885530e-10, -2.38719e-10, 2.766248e-10, 2.174282e-10, 2.326886e-10, -2.38640e-10
0,0,0,0,1,0,0,1,0, 9.998972e-01, 9.998973e-01, 9.998974e-01, 1.231493e-04, 1.231494e-04, -9.26574e-07, 8.482718e-11, 1.032361e-10, 1.557995e-10, 1.894587e-10, -2.38719e-10, 2.766248e-10, 2.290497e-10, -3.18422e-10, 7.895834e-11
0,0,0,0,1,0,0,1,1, 3.534875e-04, 9.998973e-01, 9.998974e-01, 1.231478e-04, 1.231496e-04, -1.00270e-06, 8.482717e-11, 1.032361e-10, 1.557995e-10, 1.894587e-10, -2.38719e-10, 2.766248e-10, 2.290497e-10, -4.77118e-10, -2.38653e-10
0,0,0,0,1,0,1,0,0, 9.998972e-01, 9.998973e-01, 9.998974e-01, 1.231488e-04, 1.231494e-04, -9.46512e-07, 8.482718e-11, 1.032361e-10, 1.562524e-10, 1.890058e-10, -2.38719e-10, 2.891521e-10, -4.77441e-10, 2.434044e-10, 5.662104e-11
0,0,0,0,1,0,1,0,1, 9.998972e-01, 9.998973e-01, 9.998974e-01, 1.231500e-04, 1.231483e-04, -9.82097e-07, 8.482718e-11, 1.032361e-10, 1.562524e-10, 1.890058e-10, -2.38719e-10, 2.891521e-10, -4.77441e-10, 2.443101e-10, -2.38640e-10
0,0,0,0,1,0,1,1,0, 9.998972e-01, 9.998973e-01, 9.998974e-01, 1.231486e-04, 1.231515e-04, -9.81077e-07, 8.482718e-11, 1.032361e-10, 1.562524e-10, 1.899116e-10, -2.38719e-10, 2.891521e-10, -5.56798e-10, -3.97777e-10, 9.012355e-11
0,0,0,0,1,0,1,1,1, 3.534877e-04, 3.538559e-04, 9.998974e-01, 1.231492e-04, 1.231488e-04, -1.13356e-06, 8.482717e-11, 1.032361e-10, 1.562524e-10, 1.899116e-10, -2.38719e-10, 2.891521e-10, -5.56798e-10, -5.56477e-10, -2.38659e-10
0,0,0,0,1,1,0,0,0, 9.998972e-01, 9.998973e-01, 9.998974e-01, 1.231502e-04, 1.231504e-04, -9.02628e-07, 8.482717e-11, 1.148542e-10, 1.557995e-10, 1.885530e-10, -3.18074e-10, -3.18308e-10, 2.513870e-10, 2.317829e-10, 5.662104e-11
0,0,0,0,1,1,0,0,1, 9.998972e-01, 9.998973e-01, 9.998974e-01, 1.231497e-04, 1.231518e-04, -9.38211e-07, 8.482718e-11, 1.148542e-10, 1.557995e-10, 1.885529e-10, -3.18074e-10, -3.18308e-10, 2.513870e-10, 2.326886e-10, -2.38640e-10
0,0,0,0,1,1,0,1,0, 9.998972e-01, 9.998973e-01, 9.998974e-01, 1.231486e-04, 1.231505e-04, -9.61217e-07, 8.482717e-11, 1.148542e-10, 1.557995e-10, 1.894587e-10, -3.18074e-10, -3.18308e-10, 2.630085e-10, -3.18422e-10, 7.895833e-11
0,0,0,0,1,1,0,1,1, 3.534879e-04, 9.998973e-01, 9.998974e-01, 1.231492e-04, 1.231493e-04, -1.03735e-06, 8.482716e-11, 1.148542e-10, 1.557995e-10, 1.894587e-10, -3.18074e-10, -3.18308e-10, 2.630085e-10, -4.77118e-10, -2.38653e-10
0,0,0,0,1,1,1,0,0, 9.998972e-01, 9.998973e-01, 9.998974e-01, 1.231520e-04, 1.231500e-04, -9.49653e-07, 8.482718e-11, 1.148542e-10, 1.674176e-10, 1.890058e-10, -3.18074e-10, -5.56365e-10, -5.56808e-10, 2.434044e-10, 5.662104e-11
0,0,0,0,1,1,1,0,1, 9.998972e-01, 9.998973e-01, 9.998974e-01, 1.231486e-04, 1.231515e-04, -9.85234e-07, 8.482718e-11, 1.148542e-10, 1.674176e-10, 1.890058e-10, -3.18074e-10, -5.56365e-10, -5.56808e-10, 2.443102e-10, -2.38640e-10
0,0,0,0,1,1,1,1,0, 9.998972e-01, 9.998973e-01, 9.998974e-01, 9.999445e-01, 1.231515e-04, -1.05432e-06, 8.482718e-11, 1.148542e-10, 1.674176e-10, 1.899116e-10, -3.18074e-10, -5.56365e-10, -6.36165e-10, -3.97777e-10, 9.012355e-11
0,0,0,0,1,1,1,1,1, 3.534875e-04, 3.538554e-04, 3.539630e-04, 9.999445e-01, 1.231501e-04, -1.28314e-06, 8.482717e-11, 1.148542e-10, 1.674176e-10, 1.899116e-10, -3.18074e-10, -5.56365e-10, -6.36165e-10, -5.56477e-10, -2.38659e-10
0,0,0,1,0,0,0,0,0, 9.998972e-01, 9.998973e-01, 9.998974e-01, 1.231520e-04, 9.999445e-01, -8.87998e-07, 8.437428e-11, 1.032361e-10, 1.422818e-10, -3.26468e-11, 1.087141e-10, 2.650033e-10, 2.285968e-10, 2.541202e-10, 5.662103e-11
0,0,0,1,0,0,0,0,1, 9.998972e-01, 9.998973e-01, 9.998974e-01, 1.231504e-04, 9.999445e-01, -9.23581e-07, 8.437427e-11, 1.032361e-10, 1.422818e-10, -3.26468e-11, 1.087141e-10, 2.650033e-10, 2.285968e-10, 2.550259e-10, -2.38640e-10
0,0,0,1,0,0,0,1,0, 5.068489e-05, 9.998973e-01, 9.998974e-01, 1.231487e-04, 9.999445e-01, -9.51301e-07, 8.437428e-11, 1.032361e-10, 1.422818e-10, -1.91346e-10, 1.087141e-10, 2.650033e-10, 2.402183e-10, -3.18431e-10, 7.895834e-11
